1    #UTIL: 781
1 0 1    #UTIL: 670
1 0 1 0 1    #UTIL: 130
1 0 1 0 1 4    #UTIL: 247
1 0 1 0 1 4 5    #UTIL: 196
1 0 1 0 1 5    #UTIL: 115
1 0 1 0 1 5 4    #UTIL: 43
1 0 1 2    #UTIL: 863
1 0 1 2 0 1    #UTIL: 180
1 0 1 2 0 1 4    #UTIL: 288
1 0 1 2 0 1 4 5    #UTIL: 214
1 0 1 2 0 1 5    #UTIL: 142
1 0 1 2 3    #UTIL: 247
1 0 1 2 3 0 1    #UTIL: 207
1 0 1 2 3 0 1 4    #UTIL: 288
1 0 1 2 3 0 1 4 5    #UTIL: 173
1 0 1 2 3 0 1 5    #UTIL: 128
1 0 1 2 3 0 1 5 4    #UTIL: 54
1 0 1 2 3 0 4    #UTIL: 252
1 0 1 2 3 0 4 5    #UTIL: 153
1 0 1 2 3 0 5    #UTIL: 204
1 0 1 2 3 0 5 4    #UTIL: 46
1 0 1 2 0 4    #UTIL: 240
1 0 1 2 0 4 5    #UTIL: 182
1 0 1 2 5    #UTIL: 377
1 0 1 2 0 5    #UTIL: 174
1 0 1 3    #UTIL: 196
1 0 1 3 0 1    #UTIL: 180
1 0 1 3 0 1 4    #UTIL: 270
1 0 1 3 0 1 4 5    #UTIL: 178
1 0 1 3 0 1 5    #UTIL: 124
1 0 1 3 0 1 5 4    #UTIL: 67
1 0 1 3 0 4    #UTIL: 230
1 0 1 3 0 4 5    #UTIL: 154
1 0 1 3 0 5    #UTIL: 176
1 0 1 3 0 5 4    #UTIL: 55
1 0 1 4    #UTIL: 221
1 0 1 4 5    #UTIL: 178
1 0 1 0 4    #UTIL: 195
1 0 1 0 4 5    #UTIL: 160
1 0 1 5    #UTIL: 409
1 0 1 0 5    #UTIL: 123
1 2    #UTIL: 434
1 2 0 1    #UTIL: 204
1 2 0 1 2    #UTIL: 87
1 2 0 1 2 5    #UTIL: 93
1 2 0 1 4    #UTIL: 240
1 2 0 1 4 5    #UTIL: 182
1 2 0 1 5    #UTIL: 188
1 2 0 2    #UTIL: 63
1 2 0 2 5    #UTIL: 69
1 2 3    #UTIL: 195
1 2 3 0 1    #UTIL: 171
1 2 3 0 1 4    #UTIL: 252
1 2 3 0 1 4 5    #UTIL: 153
1 2 3 0 1 5    #UTIL: 108
1 2 3 0 1 5 4    #UTIL: 46
1 2 3 0 4    #UTIL: 216
1 2 3 0 4 5    #UTIL: 133
1 2 3 0 5    #UTIL: 168
1 2 0 4    #UTIL: 192
1 2 0 4 5    #UTIL: 150
1 2 5    #UTIL: 195
1 2 0 5    #UTIL: 180
1 0 2    #UTIL: 739
1 0 2 0 1    #UTIL: 156
1 0 2 0 1 4    #UTIL: 264
1 0 2 0 1 4 5    #UTIL: 198
1 0 2 0 1 5    #UTIL: 126
1 0 2 3    #UTIL: 221
1 0 2 3 0 1    #UTIL: 189
1 0 2 3 0 1 4    #UTIL: 270
1 0 2 3 0 1 4 5    #UTIL: 163
1 0 2 3 0 1 5    #UTIL: 118
1 0 2 3 0 1 5 4    #UTIL: 50
1 0 2 3 0 4    #UTIL: 234
1 0 2 3 0 4 5    #UTIL: 143
1 0 2 3 0 5    #UTIL: 186
1 0 2 3 0 5 4    #UTIL: 42
1 0 2 0 4    #UTIL: 216
1 0 2 0 4 5    #UTIL: 166
1 0 2 5    #UTIL: 357
1 0 2 0 5    #UTIL: 150
1 3    #UTIL: 291
1 3 0 1    #UTIL: 140
1 3 0 1 4    #UTIL: 230
1 3 0 1 4 5    #UTIL: 154
1 3 0 1 5    #UTIL: 100
1 3 0 1 5 4    #UTIL: 55
1 3 0 4    #UTIL: 190
1 3 0 4 5    #UTIL: 130
1 3 0 5    #UTIL: 136
1 3 0 5 4    #UTIL: 43
1 0 3    #UTIL: 168
1 0 3 0 1    #UTIL: 160
1 0 3 0 1 4    #UTIL: 250
1 0 3 0 1 4 5    #UTIL: 166
1 0 3 0 1 5    #UTIL: 112
1 0 3 0 1 5 4    #UTIL: 61
1 0 3 0 4    #UTIL: 210
1 0 3 0 4 5    #UTIL: 142
1 0 3 0 5    #UTIL: 156
